rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
26,frame_0274.jpg,109.6,0.5387,0.5848,0.7143,0.16,8,5,False,True
27,frame_0396.jpg,158.4,0.5347,0.5768,0.7143,0.16,9,5,False,True
28,frame_0033.jpg,13.2,0.5338,0.4961,0.2857,1.0,6,2,False,False
29,frame_0281.jpg,112.4,0.5303,0.7132,0.2857,0.44,3,2,False,True
30,frame_0005.jpg,2.0,0.5246,0.3921,0.4286,1.0,5,3,False,False
31,frame_0291.jpg,116.4,0.5241,0.455,0.4286,0.84,7,3,False,False
32,frame_0077.jpg,30.8,0.5227,0.4362,0.4286,0.88,9,3,False,False
33,frame_0030.jpg,12.0,0.518,0.3788,0.4286,1.0,9,3,False,False
34,frame_0067.jpg,26.8,0.5106,0.364,0.4286,1.0,6,3,False,True
35,frame_0129.jpg,51.6,0.5104,0.4116,0.4286,0.88,8,3,False,False
36,frame_0173.jpg,69.2,0.504,0.5212,0.5714,0.36,5,4,False,False
37,frame_0032.jpg,12.8,0.503,0.4346,0.2857,1.0,8,2,False,False
38,frame_0014.jpg,5.6,0.5029,0.3487,0.4286,1.0,4,3,False,False
39,frame_0000.jpg,0.0,0.5012,0.3452,0.4286,1.0,9,3,False,False
40,frame_0015.jpg,6.0,0.4961,0.335,0.4286,1.0,5,3,False,False
41,frame_0131.jpg,52.4,0.4948,0.3484,0.4286,0.96,6,3,False,False
42,frame_0106.jpg,42.4,0.4947,0.6306,0.5714,0.04,7,4,False,False
43,frame_0298.jpg,119.2,0.4928,0.4188,0.5714,0.56,5,4,False,False
44,frame_0283.jpg,113.2,0.4895,0.4282,0.5714,0.52,6,4,False,False
45,frame_0302.jpg,120.8,0.484,0.4652,0.5714,0.4,7,4,False,False
46,frame_0290.jpg,116.0,0.4834,0.3897,0.4286,0.8,8,3,False,False
47,frame_0293.jpg,117.2,0.4824,0.4036,0.4286,0.76,6,3,False,False
48,frame_0224.jpg,89.6,0.4815,0.5722,0.5714,0.12,6,4,False,False
49,frame_0395.jpg,158.0,0.4768,0.6485,0.4286,0.12,6,3,False,False
50,frame_0127.jpg,50.8,0.4757,0.3742,0.4286,0.8,8,3,False,False
51,frame_0301.jpg,120.4,0.4729,0.427,0.5714,0.44,6,4,False,False
52,frame_0017.jpg,6.8,0.4728,0.3741,0.2857,1.0,4,2,False,False
53,frame_0125.jpg,50.0,0.472,0.3988,0.4286,0.72,6,3,False,False
54,frame_0126.jpg,50.4,0.4717,0.3822,0.4286,0.76,7,3,False,False
55,frame_0029.jpg,11.6,0.4695,0.3676,0.2857,1.0,7,2,False,False
56,frame_0294.jpg,117.6,0.4681,0.391,0.4286,0.72,5,3,False,False
57,frame_0130.jpg,52.0,0.4676,0.3101,0.4286,0.92,6,3,False,False
58,frame_0378.jpg,151.2,0.4656,0.5563,0.5714,0.08,8,4,False,False
59,frame_0128.jpg,51.2,0.465,0.4225,0.2857,0.84,7,2,False,False
60,frame_0019.jpg,7.6,0.4615,0.3515,0.2857,1.0,4,2,False,False
61,frame_0202.jpg,80.8,0.4606,0.424,0.4286,0.6,6,3,False,False
62,frame_0009.jpg,3.6,0.4589,0.3463,0.2857,1.0,4,2,False,False
63,frame_0377.jpg,150.8,0.4586,0.4406,0.7143,0.12,10,5,False,False
64,frame_0276.jpg,110.4,0.4579,0.477,0.5714,0.24,8,4,False,False
65,frame_0168.jpg,67.2,0.4562,0.3455,0.5714,0.56,6,4,False,False
66,frame_0214.jpg,85.6,0.4559,0.4467,0.4286,0.52,3,3,False,False
67,frame_0018.jpg,7.2,0.4553,0.3391,0.2857,1.0,5,2,False,False
68,frame_0398.jpg,159.2,0.4547,0.4706,0.5714,0.24,10,4,False,False
69,frame_0399.jpg,159.6,0.4536,0.4523,0.5714,0.28,7,4,False,False
70,frame_0080.jpg,32.0,0.4525,0.3438,0.4286,0.76,5,3,False,False
71,frame_0376.jpg,150.4,0.4517,0.4965,0.5714,0.16,7,4,False,False
72,frame_0081.jpg,32.4,0.4495,0.3538,0.4286,0.72,7,3,False,False
73,frame_0028.jpg,11.2,0.4493,0.3271,0.2857,1.0,3,2,False,False
74,frame_0275.jpg,110.0,0.4487,0.4745,0.5714,0.2,6,4,False,False
75,frame_0300.jpg,120.0,0.446,0.5285,0.2857,0.48,6,2,False,False
76,frame_0278.jpg,111.2,0.4456,0.4204,0.5714,0.32,7,4,False,False
77,frame_0177.jpg,70.8,0.4451,0.3817,0.7143,0.2,7,5,False,False
78,frame_0216.jpg,86.4,0.4446,0.4561,0.4286,0.44,5,3,False,False
79,frame_0013.jpg,5.2,0.4412,0.3109,0.2857,1.0,4,2,False,False
80,frame_0112.jpg,44.8,0.4399,0.457,0.5714,0.2,4,4,False,False
81,frame_0374.jpg,149.6,0.4362,0.4496,0.5714,0.2,8,4,False,False
82,frame_0379.jpg,151.6,0.4361,0.4277,0.7143,0.04,9,5,False,False
83,frame_0375.jpg,150.0,0.4356,0.4483,0.5714,0.2,7,4,False,False
84,frame_0213.jpg,85.2,0.4348,0.4742,0.2857,0.56,2,2,False,False
85,frame_0277.jpg,110.8,0.4342,0.4136,0.5714,0.28,7,4,False,False
86,frame_0397.jpg,158.8,0.4341,0.4453,0.5714,0.2,8,4,False,False
87,frame_0184.jpg,73.6,0.4314,0.5737,0.4286,0.08,7,3,False,False
88,frame_0024.jpg,9.6,0.4303,0.2891,0.2857,1.0,4,2,False,False
89,frame_0123.jpg,49.2,0.4283,0.4292,0.2857,0.64,4,2,False,False
90,frame_0020.jpg,8.0,0.4282,0.285,0.2857,1.0,4,2,False,False
91,frame_0178.jpg,71.2,0.4282,0.4496,0.5714,0.16,7,4,False,False
92,frame_0307.jpg,122.8,0.4282,0.4336,0.5714,0.2,6,4,False,False
93,frame_0069.jpg,27.6,0.4267,0.2819,0.2857,1.0,6,2,False,False
94,frame_0124.jpg,49.6,0.4261,0.323,0.4286,0.68,7,3,False,False
95,frame_0333.jpg,133.2,0.4233,0.4718,0.5714,0.08,8,4,False,False
96,frame_0026.jpg,10.4,0.4232,0.275,0.2857,1.0,4,2,False,False
